년,월,일,날짜,가격,동,층
16,10,03,16.10.03,535000000,101,4
16,09,05,16.09.05,530000000,106,15
16,09,02,16.09.02,527000000,106,19
16,08,20,16.08.20,55000000,106,2
16,08,19,16.08.19,495000000,106,3
16,08,19,16.08.19,515000000,101,8
16,08,03,16.08.03,525000000,103,20
16,07,25,16.07.25,498000000,101,4
16,07,21,16.07.21,490000000,103,11
16,07,21,16.07.21,480000000,101,17
16,07,16,16.07.16,527000000,101,12
16,07,16,16.07.16,480000000,101,2
16,07,08,16.07.08,495000000,106,1
16,07,05,16.07.05,518000000,101,7
16,06,27,16.06.27,490000000,101,6
16,06,26,16.06.26,464700000,101,1
16,06,23,16.06.23,518000000,103,20
16,06,22,16.06.22,510000000,103,10
16,06,11,16.06.11,56000000,101,18
16,06,09,16.06.09,54000000,103,8
16,06,04,16.06.04,510000000,101,13
16,06,04,16.06.04,510000000,103,20
16,05,19,16.05.19,510000000,101,13
16,05,17,16.05.17,58000000,101,17
16,05,09,16.05.09,470000000,101,2
16,05,02,16.05.02,50000,101,16
16,04,24,16.04.24,56000000,103,10
16,04,23,16.04.23,58000000,106,12
16,04,17,16.04.17,510000000,106,14
16,04,16,16.04.16,55000000,101,15
16,04,12,16.04.12,514000000,106,14
16,04,11,16.04.11,52000000,101,12
16,04,10,16.04.10,465000000,101,2
16,04,05,16.04.05,485000000,106,15
16,03,23,16.03.23,485000000,101,14
16,03,17,16.03.17,53500000,101,7
16,03,12,16.03.12,58000000,103,19
16,02,20,16.02.20,480000000,106,7
16,02,13,16.02.13,510000000,106,16
16,02,04,16.02.04,440000000,101,1
16,01,16,16.01.16,510000000,103,16
15,12,28,15.12.28,51000000,103,19
15,12,12,15.12.12,519000000,103,18
15,12,06,15.12.06,53000000,101,11
15,11,28,15.11.28,480000000,103,2
15,11,15,15.11.15,490000000,103,8
15,11,14,15.11.14,480000000,101,4
15,10,25,15.10.25,53000000,106,10
15,10,19,15.10.19,55000000,101,14
15,10,14,15.10.14,55000000,103,17
15,10,08,15.10.08,52000000,103,14
15,10,03,15.10.03,50000,101,9
15,09,03,15.09.03,465000000,101,2
15,08,24,15.08.24,50000,101,14
15,08,17,15.08.17,485000000,101,8
15,07,11,15.07.11,499500000,101,15
15,07,08,15.07.08,480000000,106,5
15,07,06,15.07.06,459000000,106,9
15,07,01,15.07.01,490000000,103,7
15,06,26,15.06.26,485000000,101,9
15,06,23,15.06.23,487500000,103,16
15,06,21,15.06.21,470000000,101,8
15,05,30,15.05.30,480000000,103,13
15,05,12,15.05.12,474000000,103,9
15,05,08,15.05.08,470000000,101,13
15,05,04,15.05.04,468000000,106,15
15,05,02,15.05.02,478000000,106,12
15,04,29,15.04.29,485000000,106,17
15,04,27,15.04.27,455000000,101,4
15,04,16,15.04.16,473000000,106,12
15,03,25,15.03.25,460000000,101,8
15,03,18,15.03.18,460000000,101,7
15,03,16,15.03.16,465000000,103,5
15,02,26,15.02.26,471000000,103,2
15,02,14,15.02.14,466000000,103,17
15,02,08,15.02.08,445000000,101,5
15,01,26,15.01.26,458000000,101,10
15,01,21,15.01.21,460000000,103,19
15,01,20,15.01.20,470000000,103,19
14,12,18,14.12.18,465000000,101,11
14,12,02,14.12.02,440000000,101,8
14,11,24,14.11.24,428000000,106,3
14,11,01,14.11.01,40000,103,1
14,10,30,14.10.30,447000000,101,3
14,10,27,14.10.27,460000000,103,14
14,10,22,14.10.22,460000000,101,8
14,10,20,14.10.20,450000000,101,3
14,10,18,14.10.18,457000000,103,15
14,09,29,14.09.29,447000000,101,14
14,09,21,14.09.21,448000000,101,15
14,09,20,14.09.20,435000000,106,19
14,09,11,14.09.11,460000000,101,8
14,09,03,14.09.03,422500000,101,4
14,08,28,14.08.28,379000000,101,2
14,08,25,14.08.25,428000000,103,4
14,08,21,14.08.21,450000000,103,11
14,08,18,14.08.18,462500000,103,14
14,08,06,14.08.06,410000000,101,4
14,08,04,14.08.04,455000000,103,7
14,08,04,14.08.04,430000000,103,3
14,07,28,14.07.28,45000000,106,8
14,07,19,14.07.19,428000000,103,11
14,07,19,14.07.19,417500000,101,5
14,07,19,14.07.19,424000000,101,7
14,07,11,14.07.11,320000000,106,1
14,07,05,14.07.05,410000000,103,3
14,06,09,14.06.09,350000000,101,6
14,06,04,14.06.04,390000000,103,2
14,05,24,14.05.24,429000000,103,5
14,05,19,14.05.19,424000000,103,13
14,05,12,14.05.12,49000000,106,5
14,05,04,14.05.04,435000000,103,12
14,04,14,14.04.14,360000000,106,1
14,04,11,14.04.11,398000000,101,3
14,03,22,14.03.22,48000000,101,11
14,03,16,14.03.16,43000000,101,7
14,03,13,14.03.13,415000000,106,7
14,03,08,14.03.08,412500000,106,14
14,03,04,14.03.04,430000000,106,13
14,02,22,14.02.22,412000000,101,5
14,02,15,14.02.15,435000000,103,17
14,02,15,14.02.15,390000000,106,3
14,02,13,14.02.13,360000000,103,1
14,01,25,14.01.25,375000000,101,1
14,01,25,14.01.25,345500000,101,1
14,01,17,14.01.17,435000000,103,15
14,01,11,14.01.11,45000000,106,13
14,01,08,14.01.08,47000000,101,18
14,01,04,14.01.04,398000000,101,9
13,12,31,13.12.31,47000000,101,18
13,12,26,13.12.26,45000000,101,5
13,12,05,13.12.05,389500000,106,14
13,11,26,13.11.26,386500000,106,14
13,11,23,13.11.23,397000000,101,11
13,11,21,13.11.21,415000000,103,7
13,10,22,13.10.22,41000000,101,7
13,10,22,13.10.22,43000000,101,6
13,10,19,13.10.19,410000000,103,8
13,10,14,13.10.14,410000000,101,13
13,10,05,13.10.05,40000,101,19
13,08,16,13.08.16,390000000,101,12
13,08,12,13.08.12,410000000,101,12
13,06,25,13.06.25,42000000,103,4
13,06,22,13.06.22,47500000,101,11
13,06,14,13.06.14,370000000,106,2
13,05,28,13.05.28,410000000,101,13
13,05,21,13.05.21,395000000,106,12
13,05,20,13.05.20,418000000,101,8
13,05,18,13.05.18,415000000,106,8
13,05,02,13.05.02,395000000,101,8
13,05,01,13.05.01,40000,101,10
13,04,27,13.04.27,410000000,101,10
13,04,10,13.04.10,270000000,103,1
13,04,08,13.04.08,392500000,101,15
13,03,27,13.03.27,40000,101,15
13,03,25,13.03.25,376000000,106,6
13,03,12,13.03.12,415000000,103,14
13,03,12,13.03.12,40000,101,15
13,03,04,13.03.04,399000000,103,3
13,03,01,13.03.01,40000,103,12
13,03,01,13.03.01,395000000,101,14
13,02,25,13.02.25,395000000,103,10
13,01,26,13.01.26,385000000,103,20
13,01,26,13.01.26,372000000,101,13
12,12,29,12.12.29,378000000,106,15
12,12,01,12.12.01,395000000,103,10
12,11,28,12.11.28,40000,103,13
12,11,13,12.11.13,40000,103,19
12,11,05,12.11.05,375000000,101,5
12,10,13,12.10.13,382500000,101,6
12,07,17,12.07.17,388000000,103,3
12,06,19,12.06.19,385000000,101,4
12,05,24,12.05.24,415000000,103,6
12,05,21,12.05.21,412500000,103,14
12,05,16,12.05.16,398000000,101,5
12,05,09,12.05.09,377000000,103,2
12,04,19,12.04.19,420000000,103,15
12,03,21,12.03.21,40000,101,13
12,02,15,12.02.15,395000000,101,5
12,01,31,12.01.31,40000,106,5
11,12,02,11.12.02,399000000,101,14
11,10,30,11.10.30,42500000,101,15
11,10,27,11.10.27,415000000,101,14
11,10,11,11.10.11,48000000,101,14
11,09,14,11.09.14,437500000,103,19
11,08,31,11.08.31,45000000,101,12
11,08,19,11.08.19,43000000,101,6
11,08,03,11.08.03,48000000,106,4
11,07,23,11.07.23,45000000,101,10
11,07,11,11.07.11,397000000,101,5
11,05,20,11.05.20,370000000,103,2
11,05,17,11.05.17,423000000,103,11
11,04,25,11.04.25,410000000,106,12
11,04,20,11.04.20,387000000,106,3
11,03,26,11.03.26,398000000,101,12
11,03,24,11.03.24,431000000,103,10
11,03,21,11.03.21,430000000,103,17
11,03,18,11.03.18,40000,101,4
11,03,17,11.03.17,414000000,103,4
11,03,04,11.03.04,40000,101,5
11,02,21,11.02.21,427500000,103,10
11,01,31,11.01.31,45000000,101,9
11,01,28,11.01.28,40000,101,15
11,01,24,11.01.24,397000000,101,8
11,01,21,11.01.21,399000000,101,12
10,12,22,10.12.22,410000000,101,10
10,12,20,10.12.20,40000,101,9
10,12,13,10.12.13,45500000,106,8
10,11,29,10.11.29,395000000,101,11
10,11,27,10.11.27,45000000,101,9
10,10,30,10.10.30,390000000,106,18
10,10,27,10.10.27,379000000,101,6
10,10,27,10.10.27,415000000,103,18
10,10,25,10.10.25,415000000,103,16
10,10,21,10.10.21,370000000,101,13
10,09,16,10.09.16,43000000,101,7
10,07,22,10.07.22,382500000,106,13
10,07,21,10.07.21,370000000,101,12
10,06,29,10.06.29,394500000,101,4
10,04,12,10.04.12,40000,106,11
10,04,10,10.04.10,395000000,101,18
10,03,10,10.03.10,398000000,101,6
10,03,08,10.03.08,430000000,103,20
10,02,16,10.02.16,388000000,106,5
10,02,15,10.02.15,418000000,103,8
10,02,06,10.02.06,428000000,103,17
